"","138001A [138001 Mary River at Miva Oct 1975-Aug 2010.csv]","138002C [138002 Wide Bay Creek at Brooyar Oct 1975-Aug 2010.csv]","138003D [138003 Glastonbury Creek at Glastonbury Oct 1979-Aug 2010.csv]","138004AB [138004 Munna Creek at Marodian Oct 1975-Aug 2010.csv]","138102C [138102C_amamoor.csv]","138104a [138104a Obi Obi Creek at Kidaman calibration-regr Oct 1975-Aug 2010.csv]","138107AB [138107 Six Mile Creek at Cooran Oct 1975-Aug 2010.csv]","138111A [138111 Mary River at Moy Pocket Oct 1975-Aug 2010.csv]","138119B [138119 Yabba Creek at Borumba Dam Release Oct 1979-Aug 2004_.csv]","138903A [138903A_tinana.csv]","141008A [141008 Eudlo Creek at Kiel Mountain Oct 1982-Aug 2010.csv]","141009A [141009 North Maroochy River at Eumundi Oct 1982-Aug 2010.csv]","143112A [reynolds_short.csv]","143303A [143303 Stanley River at Peachester Oct 1975-Aug 2010.csv]","145020A [145020 Logan River at Rathdowney Oct 1975-Aug 2010.csv]","145099A [145099 Burnett Creek at Maroon Dam Tailwater Oct 1975-Sep 2010.csv]","146002B [146002 Nerang River at Glenhurst Oct 1990-Aug 2010.csv]","146010A [146010 Coomera River at Army Camp Oct 1975-Aug 2010.csv]","146012A [146012 Currumbin Creek at Nicolls Bridge Oct 1989-Aug 2010.csv]","FilledLI145012A [145012A_teviot overflow__infilled_WHEN WAS WYARALONG DAM COMPLETED.csv]","Mary_Miva [Mary River at Miva (S).csv]","WideBay_Brooyar [Wide Bay Creek at Brooyar (S).csv]","Glaston_Glaston [Glastonbury Creek at Glastonbury (S).csv]","Munna_Marodian [Munna Creek at Marodian (S).csv]","Amamoor_Zach [Amamoor Creek at Zachariah (S).csv]","ObiObi_Kida [Obi Obi Creek at Kidaman (S).csv]","SixMile_Cooran [Six Mile Creek at Cooran (S).csv]","Mary_Moy [Mary River at Moy Pocket (S).csv]","Yabba_Borumba [Yabba Creek at Borumba Dam (S).csv]","Tinana_Bauple [Tinana Creek at Bauple East (S).csv]","Eudlo_Kiels [Eudlo Creek at Kiels Mountain (S).csv]","NthMar_Eumund [North Maroochy River at Eumundi (S).csv]","Moogerah_Out [Reynolds Creek at Moogerah Dam Outflows (S).csv]","Stanley_Peach [Stanley River at Peachester (S).csv]","Teviot_Over [Teviot Brook at The Overflow (S).csv]","Logan_Rath [Logan River at Rathdowney (S).csv]","Burnett_MaroonTW [Burnett Creek at Maroon Dam Tailwater (S).csv]","Nerang_Glenh [Nerang River at Glenhurst (S).csv]","Coomera_Army [Coomera River at Army Camp (S).csv]","Currumbin_Nich [Currumbin Creek at Nicholls Bridge (S).csv]"
"141008A [141008 Eudlo Creek at Kiel Mountain Oct 1982-Aug 2010.csv]",0.175157794331671,0.286942945858197,0.254002205684444,0.181926503833311,0.252036704296246,0.134354634839695,0.107783830624729,0.1313427711349,0.331484083996948,0.147365802354362,0,0.130378461541079,0.300388180890772,0.0946570665098399,0.177616286984565,0.269784495944682,0.236041684671815,0.0947397584289963,0.171618727334317,0.189625856820024,0.189728501404404,0.242821620733585,0.189964659136107,0.195926488764107,0.20815564843097,0.161202722804773,0.145055919199601,0.163653068836805,0.210625936660752,0.181651777073154,0.0853752142597799,0.114243380611949,0.238540386100936,0.101897802742477,0.173522693331751,0.125961643538275,0.149031712968515,0.115922429282748,0.104504503229236,0.117466237273299
"141009A [141009 North Maroochy River at Eumundi Oct 1982-Aug 2010.csv]",0.231188470770805,0.320985868116455,0.295475068403561,0.230609388319201,0.281698422288152,0.193311804559932,0.126918063876007,0.199803839175004,0.423439648964417,0.20994052547301,0.130378461541079,0,0.369295295447248,0.128001899051686,0.208538133327176,0.325858072125746,0.299284761019598,0.150034268741197,0.201680458845364,0.221490205893219,0.234063414958537,0.319545081306557,0.256526411796173,0.258599237528993,0.266089673596034,0.216299377081279,0.182921215144962,0.231151945962419,0.221575404013763,0.263228135863177,0.138394306342015,0.0712122858950266,0.243033218924966,0.14182424548439,0.203057851993746,0.148297927080455,0.182095225426348,0.149044373582461,0.159772802987018,0.143494872665115
"143112A [reynolds_short.csv]",0.324589506176125,0.483375365627493,0.44517126569514,0.387136948244582,0.441092707323017,0.238802892786015,0.349069855549513,0.330430862116532,0.254828870804326,0.306008616159612,0.300388180890772,0.369295295447248,0,0.301583670518596,0.309920403717775,0.243375953799484,0.317259606423862,0.281534195729726,0.314062478777446,0.437877978653022,0.302789875230234,0.399480864118171,0.380756731441474,0.398753172082949,0.408973319832149,0.237941900287808,0.28665836467505,0.295772692650068,0.404467125126403,0.283532940924031,0.302420653759644,0.345207776039493,0.369073128995483,0.29537009086325,0.409885675099664,0.320111970999896,0.301690227413021,0.26290388310923,0.280166389429045,0.256321393760861
"143303A [143303 Stanley River at Peachester Oct 1975-Aug 2010.csv]",0.149534877709217,0.303120196205647,0.2727121295594,0.206276709557996,0.279122390945093,0.105095881126589,0.102653189256437,0.107580111836234,0.369650299231419,0.151232129644218,0.0946570665098399,0.128001899051686,0.301583670518596,0,0.138078746532126,0.266794112879277,0.283414874423317,0.0862538337693967,0.15840221614883,0.21001303321254,0.142018279158288,0.240501980848011,0.184418618185327,0.233184569446477,0.235936561216975,0.10704085692787,0.0954906136917004,0.118029643519717,0.21722552798687,0.171498479097459,0.109900107332907,0.113878393767566,0.266484359045127,0.0430785691667002,0.199022179302957,0.0958316301655213,0.152131536493943,0.113696230183397,0.0971358702940122,0.093562625335572
"145020A [145020 Logan River at Rathdowney Oct 1975-Aug 2010.csv]",0.178992709755748,0.292175867155585,0.281385146085115,0.194538382164107,0.303004432381459,0.154862843900563,0.174923971611657,0.147583390992185,0.40577336293621,0.179585072965776,0.177616286984565,0.208538133327176,0.309920403717775,0.138078746532126,0,0.229894216684946,0.294562997400227,0.128947184695509,0.237953364870973,0.219908311405768,0.154817525008095,0.216918717092236,0.1810760529024,0.215595754889714,0.231764230279659,0.14298653801524,0.138905349916905,0.134370759349377,0.210906852720589,0.187440319835224,0.172837500198487,0.19037414223207,0.245353541964188,0.130613510561035,0.197950374922497,0.105044527190744,0.128895484473585,0.173521296729446,0.128279601727004,0.171479057587066
"145099A [145099 Burnett Creek at Maroon Dam Tailwater Oct 1975-Sep 2010.csv]",0.257827875897191,0.353670808195254,0.31739998955386,0.287377151051116,0.341365743572848,0.195509389931398,0.275007236246766,0.248602836021729,0.29667195302034,0.249655228252881,0.269784495944682,0.325858072125746,0.243375953799484,0.266794112879277,0.229894216684946,0,0.321962032051195,0.237927170269069,0.309087920352678,0.331088093821747,0.249004136555725,0.307955526579519,0.285951372468576,0.304529952125522,0.289763126907335,0.19263607474498,0.222535649469103,0.22128910384557,0.276123362941201,0.19953366364144,0.265756050436153,0.30303603826262,0.34772779589995,0.25564366096632,0.312286374461261,0.227787987237456,0.205488554108716,0.257347898114871,0.240641896920755,0.245126788395584
"146002B [146002 Nerang River at Glenhurst Oct 1990-Aug 2010.csv]",0.274859843843218,0.361347742173808,0.323669855605064,0.256549795443849,0.310398374987866,0.247672905802407,0.295562952065918,0.28337591018965,0.360585207228972,0.236833771075428,0.236041684671815,0.299284761019598,0.317259606423862,0.283414874423317,0.294562997400227,0.321962032051195,0,0.238311092039752,0.275765957148516,0.295285824859473,0.264316682331083,0.298652590512962,0.291014082578888,0.26634393723215,0.281796861006845,0.264241900776761,0.260386270285472,0.276371600371281,0.295833502754125,0.260125287297369,0.254810723707056,0.265098785823444,0.332363893320569,0.268797285766211,0.267231311619906,0.263883248297368,0.285105247363349,0.225997508834317,0.240612936240385,0.255163365512546
"146010A [146010 Coomera River at Army Camp Oct 1975-Aug 2010.csv]",0.14837614744173,0.281826953331474,0.257106736022473,0.180638969174488,0.270663928853257,0.112291951214895,0.117532023998891,0.111307148719344,0.34539684448874,0.141935062311365,0.0947397584289963,0.150034268741197,0.281534195729726,0.0862538337693967,0.128947184695509,0.237927170269069,0.238311092039752,0,0.173780167051694,0.201296851662144,0.144830746059765,0.210734891467394,0.152064290992316,0.190706714851535,0.213331901097606,0.122312404487071,0.100663742496798,0.112003792984655,0.189716697528373,0.150673913306039,0.0997217488071873,0.127583052979822,0.260754505860801,0.0704469763775132,0.178555303951675,0.0810663681566487,0.139884942578384,0.107324184451313,0.0313085071214931,0.091406053391786
"146012A [146012 Currumbin Creek at Nicolls Bridge Oct 1989-Aug 2010.csv]",0.239493785606228,0.424204512607478,0.396034324617834,0.29978263873143,0.373034531385257,0.177070560683196,0.221766803128926,0.224074061777375,0.379467376571873,0.240492127915044,0.171618727334317,0.201680458845364,0.314062478777446,0.15840221614883,0.237953364870973,0.309087920352678,0.275765957148516,0.173780167051694,0,0.341039369535734,0.20787904973843,0.35701754374107,0.296904526552531,0.328096649708843,0.348580639429143,0.193186565381015,0.18266084062291,0.223702977643236,0.308568751401616,0.248375030694451,0.190427876738239,0.179915014559585,0.310441673371631,0.164511114019857,0.314252914886953,0.188542865330799,0.246680997379614,0.143786188163738,0.1757935822109,0.100768416993926
"FilledLI145012A [145012A_teviot overflow__infilled_WHEN WAS WYARALONG DAM COMPLETED.csv]",0.228870501293506,0.14237321895367,0.133418177895385,0.123797193826623,0.163188882667144,0.249958705716628,0.158952174927883,0.166389026426434,0.444122494713483,0.187984289013607,0.189625856820024,0.221490205893219,0.437877978653022,0.21001303321254,0.219908311405768,0.331088093821747,0.295285824859473,0.201296851662144,0.341039369535734,0,0.265299049432872,0.175698072071225,0.152391784189988,0.125858185049313,0.125320651615674,0.265240124715666,0.224086014276564,0.208441341665021,0.153936265774824,0.230148554437414,0.198475934404732,0.210740151360612,0.319928660341874,0.218166902999612,0.0854027709884314,0.185052237443331,0.204249080184653,0.264231154506802,0.21569855086045,0.263970106078301
"Mary_Miva [Mary River at Miva (S).csv]",0.0823224717652561,0.350587498556649,0.311378200798756,0.23291575090585,0.326635810360186,0.12435515884547,0.18658609763741,0.135492372289796,0.369055504584182,0.158388993655368,0.189728501404404,0.234063414958537,0.302789875230234,0.142018279158288,0.154817525008095,0.249004136555725,0.264316682331083,0.144830746059765,0.20787904973843,0.265299049432872,0,0.252083849060323,0.21971717383751,0.245125585645211,0.271428532949353,0.126168230003278,0.115023881161273,0.111375590229143,0.239682716009062,0.160883933812794,0.164944181988529,0.191032891302076,0.324053092527346,0.133427839559279,0.238157446307882,0.124252804782519,0.187472466919809,0.131770622529702,0.147987033490312,0.147628147355075
"WideBay_Brooyar [Wide Bay Creek at Brooyar (S).csv]",0.190971714172005,0.177378045703399,0.15226961592961,0.173628959476515,0.188457124238401,0.215621320865478,0.205202917648404,0.163653612024591,0.44345397484828,0.181378786590552,0.242821620733585,0.319545081306557,0.399480864118171,0.240501980848011,0.216918717092236,0.307955526579519,0.298652590512962,0.210734891467394,0.35701754374107,0.175698072071225,0.252083849060323,0,0.122661536429206,0.178276614280584,0.122216943238945,0.212331842924417,0.191020807945502,0.167888987929206,0.20282463639503,0.194011706168176,0.22082739633574,0.290664464180162,0.404924139493715,0.23296148116929,0.150802493180113,0.204158176112821,0.248802794688095,0.255439541080692,0.221385177549898,0.280485843943668
"Glaston_Glaston [Glastonbury Creek at Glastonbury (S).csv]",0.17904465270555,0.187412964208457,0.152818560496888,0.167951350403887,0.207224194284189,0.189152761424363,0.177264926625542,0.131734469409154,0.407314480114056,0.168377043547828,0.189964659136107,0.256526411796173,0.380756731441474,0.184418618185327,0.1810760529024,0.285951372468576,0.291014082578888,0.152064290992316,0.296904526552531,0.152391784189988,0.21971717383751,0.122661536429206,0,0.165762345920051,0.124445178089019,0.190303944392912,0.159909542717201,0.158380615281852,0.14089957768022,0.176377981082008,0.171793036663593,0.209176458544981,0.339874165299117,0.17427373800222,0.161933935828096,0.150173689552022,0.189991683070311,0.221084490242118,0.164225950990869,0.214968272363716
"Munna_Marodian [Munna Creek at Marodian (S).csv]",0.202887025206138,0.181072037478179,0.186238312460619,0.0543181009305127,0.192231897977711,0.223383572572889,0.197302591307343,0.178586016197596,0.411207510194821,0.159252564244515,0.195926488764107,0.258599237528993,0.398753172082949,0.233184569446477,0.215595754889714,0.304529952125522,0.26634393723215,0.190706714851535,0.328096649708843,0.125858185049313,0.245125585645211,0.178276614280584,0.165762345920051,0,0.147734877454744,0.240579379184264,0.219934119715828,0.199252077570419,0.159024719754525,0.187512112986181,0.182765351808908,0.231214686522253,0.311123779992709,0.220863761475134,0.11038141790089,0.17599098201166,0.188478932529688,0.234812757616023,0.199501665140647,0.247884418445608
"Amamoor_Zach [Amamoor Creek at Zachariah (S).csv]",0.221701740894954,0.177711300090537,0.090152441519358,0.134921085458366,0.135664836814467,0.232566441792561,0.190610090209456,0.16617039954395,0.442465128570768,0.182254121088563,0.20815564843097,0.266089673596034,0.408973319832149,0.235936561216975,0.231764230279659,0.289763126907335,0.281796861006845,0.213331901097606,0.348580639429143,0.125320651615674,0.271428532949353,0.122216943238945,0.124445178089019,0.147734877454744,0,0.251729618662001,0.213779034255394,0.197252095818369,0.142469725315591,0.212685935680724,0.196360498642157,0.235881725823427,0.349738180559838,0.23388967767015,0.125354810513602,0.211944475461212,0.213777060684298,0.259763586493943,0.222030161702392,0.270345875759338
"ObiObi_Kida [Obi Obi Creek at Kidaman (S).csv]",0.130991707189628,0.315259643555927,0.286030375014641,0.228510680144305,0.307918676632215,0.0423931697210028,0.163229276753856,0.132909270925357,0.306012788879829,0.142594574722914,0.161202722804773,0.216299377081279,0.237941900287808,0.10704085692787,0.14298653801524,0.19263607474498,0.264241900776761,0.122312404487071,0.193186565381015,0.265240124715666,0.126168230003278,0.212331842924417,0.190303944392912,0.240579379184264,0.251729618662001,0,0.0844051546658221,0.0965012679049065,0.244740448667663,0.135845707667057,0.13614843528827,0.193555825036646,0.314421235252682,0.0988180813604874,0.236802644164959,0.12200479188332,0.171181625863566,0.122389246020014,0.123746452839692,0.117219574617725
"SixMile_Cooran [Six Mile Creek at Cooran (S).csv]",0.118679710050019,0.304176553886418,0.262519939069921,0.203298630877111,0.275380403214416,0.0770606066537189,0.108749848204078,0.0998750781492905,0.364162769397436,0.143860922308758,0.145055919199601,0.182921215144962,0.28665836467505,0.0954906136917004,0.138905349916905,0.222535649469103,0.260386270285472,0.100663742496798,0.18266084062291,0.224086014276564,0.115023881161273,0.191020807945502,0.159909542717201,0.219934119715828,0.213779034255394,0.0844051546658221,0,0.0877017104765218,0.182636966254018,0.122063665401309,0.0989891774999072,0.145908696499525,0.292393984650669,0.0934489781762485,0.191879506046301,0.0855771930521995,0.151277392779249,0.0986666332686454,0.103928456681492,0.114242267065028
"Mary_Moy [Mary River at Moy Pocket (S).csv]",0.110483437516596,0.279811973258151,0.234590947383659,0.190874247761228,0.258254767879996,0.108679024847461,0.147610350718998,0.0708880938233811,0.370830416757278,0.130933519753136,0.163653068836805,0.231151945962419,0.295772692650068,0.118029643519717,0.134370759349377,0.22128910384557,0.276371600371281,0.112003792984655,0.223702977643236,0.208441341665021,0.111375590229143,0.167888987929206,0.158380615281852,0.199252077570419,0.197252095818369,0.0965012679049065,0.0877017104765218,0,0.18958047033917,0.131061601409697,0.124129761246123,0.19387738804455,0.330642121287509,0.103928253610102,0.185154647349727,0.106188165059281,0.175009586623853,0.144950521864236,0.116065993474144,0.148390786710336
"Yabba_Borumba [Yabba Creek at Borumba Dam (S).csv]",0.207644292843511,0.229849081186871,0.179492635651871,0.149229908220114,0.21257583503375,0.22982686614444,0.184337800216211,0.17373380504781,0.46003115295451,0.198699655557768,0.210625936660752,0.221575404013763,0.404467125126403,0.21722552798687,0.210906852720589,0.276123362941201,0.295833502754125,0.189716697528373,0.308568751401616,0.153936265774824,0.239682716009062,0.20282463639503,0.14089957768022,0.159024719754525,0.142469725315591,0.244740448667663,0.182636966254018,0.18958047033917,0,0.211667106669375,0.175953550670941,0.185605638592285,0.275868507871407,0.214185856866742,0.151133008647521,0.159329078659749,0.165823882410474,0.231184041487998,0.194991099465776,0.233621916237272
"Tinana_Bauple [Tinana Creek at Bauple East (S).csv]",0.12739733046799,0.285150669635962,0.252489912378556,0.196002481108825,0.269912434502326,0.127785422093953,0.171421115805217,0.134910923335385,0.338680369416699,0.0969626686561705,0.181651777073154,0.263228135863177,0.283532940924031,0.171498479097459,0.187440319835224,0.19953366364144,0.260125287297369,0.150673913306039,0.248375030694451,0.230148554437414,0.160883933812794,0.194011706168176,0.176377981082008,0.187512112986181,0.212685935680724,0.135845707667057,0.122063665401309,0.131061601409697,0.211667106669375,0,0.173660277066512,0.238155262964514,0.347934418955317,0.168361131029245,0.194249750919518,0.139653046846766,0.196882105076983,0.151814637381891,0.154360341700735,0.179406791735014
"Eudlo_Kiels [Eudlo Creek at Kiels Mountain (S).csv]",0.146220466086392,0.292183981511794,0.25532561997382,0.183153965098196,0.263951122300543,0.115025651387555,0.101104660079923,0.123530268935611,0.346089265183785,0.137771954307769,0.0853752142597799,0.138394306342015,0.302420653759644,0.109900107332907,0.172837500198487,0.265756050436153,0.254810723707056,0.0997217488071873,0.190427876738239,0.198475934404732,0.164944181988529,0.22082739633574,0.171793036663593,0.182765351808908,0.196360498642157,0.13614843528827,0.0989891774999072,0.124129761246123,0.175953550670941,0.173660277066512,0,0.100364185644632,0.259543893810049,0.107953187998856,0.162681899986572,0.106198709748465,0.156978992608062,0.08931605655985,0.097563729246481,0.114741947022848
"NthMar_Eumund [North Maroochy River at Eumundi (S).csv]",0.20390439816698,0.317271150958341,0.278743797826892,0.204484338298301,0.291291139849323,0.173368722829607,0.111535421108023,0.168550109710989,0.39485659706427,0.186920750435167,0.114243380611949,0.0712122858950266,0.345207776039493,0.113878393767566,0.19037414223207,0.30303603826262,0.265098785823444,0.127583052979822,0.179915014559585,0.210740151360612,0.191032891302076,0.290664464180162,0.209176458544981,0.231214686522253,0.235881725823427,0.193555825036646,0.145908696499525,0.19387738804455,0.185605638592285,0.238155262964514,0.100364185644632,0,0.252318132772549,0.121196081041726,0.204806873220105,0.129086843080737,0.161623967512569,0.121011407119643,0.130716462511874,0.121191366878667
