"","Taxon","wood.density","source"
"1716","Cryptocarya obovata",0.551,"AUSTRAITS_dataset_34"
"1717","Cryptocarya triplinervis",0.65,"AUSTRAITS_dataset_34"
"937","Cupaniopsis anacardioides",0.7,"AUSTRAITS_dataset_49"
"1723","Cupaniopsis anacardioides",0.835,"AUSTRAITS_dataset_34"
"541","Daphnandra apatela",0.559,"AUSTRAITS_dataset_49"
"350","Daphnandra tenuipes",0.5633,"AUSTRAITS_dataset_49"
"1736","Diospyros australis",0.633,"AUSTRAITS_dataset_34"
"753","Diospyros fasciculosa",0.69,"AUSTRAITS_dataset_49"
"376","Diospyros pentamera",0.569,"AUSTRAITS_dataset_49"
"1738","Diospyros pentamera",0.603,"AUSTRAITS_dataset_34"
"1739","Diospyros pentamera",0.633,"AUSTRAITS_dataset_34"
"1131","Diploglottis australis",0.5977,"AUSTRAITS_dataset_49"
"1742","Diploglottis australis",0.577,"AUSTRAITS_dataset_34"
"1743","Diploglottis australis",0.689,"AUSTRAITS_dataset_34"
"1745","Dissiliaria baloghioides",0.844,"AUSTRAITS_dataset_34"
"1746","Dissiliaria baloghioides",0.842,"AUSTRAITS_dataset_34"
"1747","Dissiliaria baloghioides",0.857,"AUSTRAITS_dataset_34"
"1748","Drypetes deplanchei",0.788,"AUSTRAITS_dataset_34"
"1749","Drypetes deplanchei",0.747,"AUSTRAITS_dataset_34"
"1751","Drypetes deplanchei",0.799,"AUSTRAITS_dataset_34"
"1755","Dysoxylum rufum",0.551,"AUSTRAITS_dataset_34"
"345","Elaeocarpus obovatus",0.6063,"AUSTRAITS_dataset_49"
"1766","Elaeocarpus obovatus",0.607,"AUSTRAITS_dataset_34"
"688","Elattostachys nervosa",0.6622,"AUSTRAITS_dataset_49"
"288","Elattostachys xylocarpa",0.6622,"AUSTRAITS_dataset_49"
"1769","Elattostachys xylocarpa",0.663,"AUSTRAITS_dataset_34"
"461","Endiandra discolor",0.548,"AUSTRAITS_dataset_49"
"631","Endiandra discolor",0.58,"AUSTRAITS_dataset_39"
"1774","Endiandra discolor",0.558,"AUSTRAITS_dataset_34"
"1775","Endiandra discolor",0.663,"AUSTRAITS_dataset_34"
"994","Endiandra globosa",0.72,"AUSTRAITS_dataset_49"
"1778","Endiandra globosa",0.788,"AUSTRAITS_dataset_34"
"662","Endiandra pubens",0.6493,"AUSTRAITS_dataset_49"
"1780","Endiandra pubens",0.65,"AUSTRAITS_dataset_34"
"220","Endiandra sieberi",0.645,"AUSTRAITS_dataset_49"
