"","Taxon","leaf.area","source"
"44","Breynia oblongifolia",2.55,"AUSTRAITS_dataset_68"
"57","Breynia oblongifolia",3.18,"AUSTRAITS_dataset_68"
"91","Breynia oblongifolia",4.758,"AUSTRAITS_dataset_30"
"92","Breynia oblongifolia",4.76,"AUSTRAITS_dataset_68"
"143","Breynia oblongifolia",6.28,"AUSTRAITS_dataset_68"
"144","Breynia oblongifolia",6.281,"AUSTRAITS_dataset_8"
"701","Breynia oblongifolia",0.033,"AUSTRAITS_dataset_3"
"531","Bridelia exaltata",19.83,"AUSTRAITS_dataset_68"
"563","Bridelia exaltata",20.825,"AUSTRAITS_dataset_49"
"269","Bridelia leichhardtii",10.264,"AUSTRAITS_dataset_49"
"56","Bursaria incana",3.15,"AUSTRAITS_dataset_29"
"62","Bursaria incana",3.325,"AUSTRAITS_dataset_49"
"591","Calamus muelleri",21.95,"Gallagher_field_workPHD"
"1033","Calamus muelleri",47.25,"AUSTRAITS_dataset_68"
"1132","Calamus muelleri",90.56,"AUSTRAITS_dataset_68"
"1161","Calamus muelleri",546.75,"AUSTRAITS_dataset_68"
"115","Callerya megasperma",5.25,"AUSTRAITS_dataset_68"
"336","Callerya megasperma",12.833,"AUSTRAITS_dataset_68"
"352","Callerya megasperma",13.48,"Gallagher_field_workPHD"
"1108","Callerya megasperma",73.5,"AUSTRAITS_dataset_49"
"571","Canarium australasicum",21,"AUSTRAITS_dataset_68"
"732","Canarium australasicum",26.6,"AUSTRAITS_dataset_49"
"405","Capparis arborea",16.25,"AUSTRAITS_dataset_68"
"410","Capparis arborea",16.35,"Gallagher_field_workPHD"
"451","Capparis arborea",17.83,"Gallagher_field_workPHD"
"637","Capparis arborea",23.625,"AUSTRAITS_dataset_49"
"768","Capparis arborea",27.995,"AUSTRAITS_dataset_28"
"839","Capparis arborea",31.538,"AUSTRAITS_dataset_28"
"868","Capparis arborea",33.117,"AUSTRAITS_dataset_28"
