"","flowering.duration","leaf.area","maximum.height","seed.mass","SLA","wood.density","growthForm"
"Eugenia.uniflora",7,9.14375,8,258.292,NA,0.7568,"shrub"
"Eupomatia.laurina",3,36.0983333333333,15,13.424157367255,14.6494504243687,0.509,"tree"
"Euroschinus.falcatus",NA,24.6014285714286,30,7.62,13.6711979741205,0.4225,"tree"
"Ficus.coronata",12,31.5115476192857,20,0.445,16.7746794791073,0.438253,"tree"
"Ficus.fraseri",NA,37.7431428571429,35,0.23,15.2034705882353,0.443,"tree"
"Ficus.obliqua",NA,19.3996666666667,50,0.44,13.2100396301189,0.513,"tree"
"Ficus.opposita",NA,40.6293333333333,10,0.8725,8.27403607479729,0.44,"tree"
"Ficus.racemosa",NA,62.717,35,0.13,NA,0.37,"tree"
"Ficus.virens",NA,46.288,40,0.25,NA,0.342,"tree"
"Ficus.watkinsiana",NA,60.86,40,1.978,NA,0.375,"tree"
"Flagellaria.indica",12,22.3889230769231,2,33.0403313391311,18.8458967076479,NA,"vine"
"Flindersia.schottiana",2,41.6893333333333,45,53.326,9.53288846520496,0.584857142857143,"tree"
"Geitonoplesium.cymosum",6,5.6658125,3,15.32,32.9014092642939,NA,"vine"
"Glochidion.ferdinandi",12,21.529375,35,2.24233836543282,14.7138980872277,0.5877931254,"tree"
"Grevillea.robusta",3,43.867466666,35,21.8742563300835,10.6046801833333,0.525517020818182,"tree"
"Guioa.semiglauca",3,14.5305,40,42.6376666666667,12.3810054032315,0.7161,"tree"
"Helicia.glabriflora",NA,27.4766666666667,30,152.7,8.4005376344086,0.5762,"tree"
"Hippocratea.barbata",2,13.1896,1.3,41.5,26.6029983282454,NA,"vine"
"Hodgkinsonia.ovatiflora",3,10.25,35,NA,NA,0.8256,"tree"
"Hymenosporum.flavum",3,29.5756666666667,28,6.7451208425893,14.71574702,0.5885,"tree"
"Ixora.beckleri",4,29.2125,15,NA,NA,0.8256,"tree"
"Jagera.pseudorhus",3,5.522,15,37.2531570887905,22.298684748585,0.653,"tree"
"Lantana.camara",2,28.5941666666667,4,19.0005,23.7091284475,NA,"shrub"
"Legnephora.moorei",3,130.847,NA,36,27.1517784414879,NA,"vine"
"Leucaena.leucocephala",3,0.21175,8,48,NA,0.76,"tree"
"Ligustrum.lucidum",6,29.48565,4.5,22.793,13.211678976,0.57942,"tree"
"Ligustrum.sinense",5,3.6995,3,16.8256666666667,9.712397385,0.612,"shrub"
"Lomandra.hystrix",6,85.25,1.3,13.92,NA,NA,"herb"
"Lomandra.longifolia",5,39.6823333333333,1,11.33,5.078207361,NA,"herb"
"Lomandra.sp",5,39.6823333333333,1,11.33,5.078207361,NA,"herb"
"Lophostemon.confertus",3,33.682,40,6.50012467935515,NA,0.7328,"tree"
"Lophostemon.suaveolens",3,35.5811428571429,30,0.565,9.42118943823961,0.6138781315,"tree"
"Macadamia.tetraphylla",3,43.845,18,NA,6.254,NA,"tree"
"Macfadyena.unguiscati",4,14,20,29,16.109,NA,"vine"
"Maclura.cochinchinensis",NA,8.60825,15,11.167,18.4222467297166,NA,"vine"
"Mallotus.claoxyloides",6,32.21625,8,62.860363750646,17.06017648,NA,"tree"
"Mallotus.philippensis",11,42.0419047614286,25,22.7502591092639,19.12979351,0.603333333333333,"tree"
"Marsdenia.rostrata",6,38.6523333333333,1.8,77.35,23.6996566640446,NA,"vine"
"Melaleuca.bracteata",3,0.299,15,0.0570170270528256,NA,0.87,"tree"
"Melaleuca.quinquenervia",7,7.508,35,0.200263476228058,7.962321972,0.670125036,"tree"
"Melaleuca.spp",3,0.299,15,0.0570170270528256,NA,0.87,"tree"
"Melia.azedarach",4,6.3,45,321.375832537482,NA,0.387666666666667,"tree"
"Micromelum.minutum",12,28.1105,10,22,NA,NA,"tree"
"Mischocarpus.pyriformis",NA,37.9065714285714,30,187.2,8.78600060519922,0.6,"tree"
"Morinda.jasminoides",7,9.53809090909091,20,7.24833333333333,26.0434633965627,NA,"vine"
"Myrsine.variabilis",5,14.4521428571429,10,28.404,11.6924793852689,0.75917,"shrub"
"Neolitsea.dealbata",3,59.3437549017647,20,146.0075,12.7494502088928,0.499757142857143,"tree"
"Notelaea.longifolia",7,34.9340909090909,9,97.8275,9.64845733456075,0.83987,"tree"
"Notelaea.microcarpa",7,10.5876,10,43.521,6.615,0.638719277,"shrub"
"Ochna.serrulata",6,6.7976,3,83.76,20.1976666666667,NA,"shrub"
"Olea.paniculata",3,30.015,30,82.5,15.1194436044754,0.760333333333333,"tree"
"Pandorea.pandorana",7,10.1108,1.6,3.9844375,27.0173449599929,0.4477,"vine"
"Pararchidendron.pruinosum",4,12.4766666666667,20,56,24.6062992125984,0.5125,"tree"
"Parsonsia.straminea",5,41.8667272727273,17,8.848,22.3762691214052,NA,"vine"
"Passiflora.edulis",5,130.67,5,13.481,21.6,NA,"vine"
"Pavetta.australiensis",3,47.775,7,219,NA,NA,"shrub"
"Pittosporum.multiflorum",6,0.268,4.2,11.071,NA,NA,"tree"
"Pittosporum.undulatum",4,28.9654,25,9.34253904089783,11.1524932031753,0.6446,"tree"
"Planchonella.australis",4,29.4,40,670.457262907258,NA,0.7568,"tree"
"Polyscias.elegans",5,29.274125,30,6.84026093777776,13.7355112476707,0.36075,"tree"
"Pothos.longipes",2,4.2,NA,109,12.0048,NA,"vine"
"Pseudoweinmannia.lachnocarpa",3,16.678,35.2,NA,NA,0.744666666666667,"tree"
"Psychotria.daphnoides",3,1.26,2,18.413,NA,NA,"shrub"
"Psychotria.loniceroides",3,20.94175,5,9.58908578102923,14.6699249572766,0.69,"shrub"
"Rhodamnia.argentea",4,24.684,40,16.978,NA,0.705366666666667,"tree"
"Rhodamnia.rubescens",4,16.7276666666667,30,3.798,10.993,0.6414,"tree"
"Rhodomyrtus.psidioides",2,31.845,20,4.1765,13.1238820842933,0.7783,"tree"
"Rhodosphaera.rhodanthema",3,7.963,27,448.871,NA,0.5895,"tree"
"Ricinus.communis",3,NA,3.5,295.6,47.11,NA,"shrub"
"Ripogonum.spp",5,37.2,15,1.89,11.94,NA,"vine"
"Rubus.moluccanus",6,45.1576666666667,NA,0.85,13.84331023,NA,"vine"
"Rubus.rosifolius",12,3.19675,1,0.524784110637871,23.9593333333333,NA,"vine"
"Sarcopteryx.stipata",4,12.066,40,37.19,9.16926462497708,0.83875,"tree"
"Schefflera.actinophylla",5,117.469,24,7.87903786820389,NA,0.4065,"tree"
"Schoenoplectus.validus",6,97.5,2,0.91,NA,NA,"herb"
"Senna.pendula",12,3.06,3,18.5,NA,NA,"shrub"
"Senna.septemtrionalis",9,8.65375,3,20.604,NA,NA,"shrub"
"Sloanea.australis",6,59.2131666666667,45,NA,15.3610173375,0.509,"tree"
"Sloanea.woollsii",3,35.535,45,NA,NA,0.523733333333333,"tree"
"Smilax.australis",6,53.425125,4,35.2845,11.2165685697378,NA,"vine"
"Solanum.mauritianum",9,119.4375,4,1.07,20.12699687,0.449091629,"tree"
"Stephania.japonica",6,40.5241818181818,1,20.588666673519,21.6154114519391,NA,"vine"
"Sterculia.quadrifida",3,91.1793333333333,25,NA,NA,0.322,"tree"
"Streblus.brunonianus",9,11.429816666,30,12,21.07134504,0.68125,"tree"
"Synoum.glandulosum",3,42.3216057692308,20,202.231066045636,12.3775603595273,0.527571428571429,"tree"
"Syzygium.australe",3,13.2473333333333,24,243.77094605727,13.0486653674938,0.6115,"tree"
"Syzygium.floribundum",2,24.456,30,1455.38103790523,13.58,0.5897,"tree"
"Syzygium.luehmannii",3,6.321,35,21.1037099916711,13.9171848106089,0.645,"tree"
"Syzygium.oleosum",10,19.3494444444444,17,198.320896260964,11.3613776953737,0.751443983333333,"tree"
"Tabernaemontana.pandacaqui",6,26.0183333333333,4,23.597,NA,NA,"shrub"
"Tecoma.capensis",6,2.625,3,2.148,NA,NA,"shrub"
"Tecoma.stans",6,8.3125,5,9,NA,0.462,"tree"
"Toechima.tenax",3,6.15,30,NA,NA,0.6622,"tree"
"Toona.ciliata",4,30.40175,45,2,14.9328149343663,0.397125,"tree"
"Trema.tomentosa",4,21.958,6,3.53,27.5435325287312,0.3565524266,"tree"
"Tristaniopsis.laurina",2,14.2245,30,10.25641026,7.2051378275,0.76154036275,"tree"
"Trophis.scandens",12,24.6769,NA,80.55,10.4958516872389,0.6589391665,"vine"
"Wikstroemia.indica",2,5.20666666666667,4,17,25.1572327044025,0.58,"shrub"
"Wilkiea.huegeliana",3,38.0299375,13.5,131.15,9.96073039999596,0.62095,"shrub"
