"","Taxon","maximum.height","source","vine"
"101","Ixora beckleri",15,"AUSTRAITS_dataset_49",NA
"102","Jagera pseudorhus",15,"AUSTRAITS_dataset_49",NA
"103","Lantana camara",4,"AUSTRAITS_dataset_8",NA
"104","Lepiderema pulchella",15,"AUSTRAITS_dataset_49",NA
"105","Ligustrum lucidum",4.5,"AUSTRAITS_dataset_8",NA
"106","Ligustrum sinense",3,"AUSTRAITS_dataset_10",NA
"107","Lomandra longifolia",1,"AUSTRAITS_dataset_8",NA
"108","Lophostemon confertus",40,"AUSTRAITS_dataset_49",NA
"109","Lophostemon suaveolens",30,"AUSTRAITS_dataset_39",NA
"110","Macadamia tetraphylla",18,"AUSTRAITS_dataset_49",NA
"112","Mallotus claoxyloides",8,"AUSTRAITS_dataset_49",NA
"113","Mallotus discolor",30,"AUSTRAITS_dataset_49",NA
"114","Mallotus philippensis",25,"AUSTRAITS_dataset_49",NA
"116","Medicosma cunninghamii",10,"AUSTRAITS_dataset_49",NA
"117","Melaleuca bracteata",15,"AUSTRAITS_dataset_49",NA
"118","Melaleuca quinquenervia",35,"AUSTRAITS_dataset_49",NA
"119","Melia azedarach",45,"AUSTRAITS_dataset_49",NA
"120","Micromelum minutum",10,"AUSTRAITS_dataset_56",NA
"121","Mischarytera lautereriana",30,"AUSTRAITS_dataset_49",NA
"122","Mischocarpus australis",35,"AUSTRAITS_dataset_49",NA
"123","Mischocarpus pyriformis",30,"AUSTRAITS_dataset_49",NA
"125","Myrsine variabilis",10,"AUSTRAITS_dataset_49",NA
"126","Neolitsea dealbata",20,"AUSTRAITS_dataset_39",NA
"127","Notelaea longifolia",9,"AUSTRAITS_dataset_49",NA
"128","Notelaea microcarpa",10,"AUSTRAITS_dataset_49",NA
"129","Ochna serrulata",3,"AUSTRAITS_dataset_52",NA
"130","Olea paniculata",30,"AUSTRAITS_dataset_49",NA
"132","Pararchidendron pruinosum",20,"AUSTRAITS_dataset_49",NA
"135","Pavetta australiensis",7,"AUSTRAITS_dataset_49",NA
"136","Phyllanthus microcladus",1,"AUSTRAITS_dataset_49",NA
"137","Pilidiostigma rhytispermum",10,"AUSTRAITS_dataset_49",NA
"138","Pittosporum multiflorum",4.2,"AUSTRAITS_dataset_49",NA
"139","Pittosporum undulatum",25,"AUSTRAITS_dataset_49",NA
"140","Planchonella australis",40,"AUSTRAITS_dataset_49",NA
"141","Pleurostylia opposita",15,"AUSTRAITS_dataset_49",NA
"142","Polyscias elegans",30,"AUSTRAITS_dataset_49",NA
"143","Pouteria queenslandica",40,"AUSTRAITS_dataset_49",NA
"144","Pseudoweinmannia lachnocarpa",35.2,"AUSTRAITS_dataset_52",NA
"145","Psychotria daphnoides",2,"AUSTRAITS_dataset_49",NA
"146","Psychotria loniceroides",5,"AUSTRAITS_dataset_49",NA
"147","Psychotria spp. 'shute harbour'",5,"AUSTRAITS_dataset_49",NA
"148","Psydrax odorata",15,"AUSTRAITS_dataset_49",NA
"149","Pteridium esculentum",1.8,"AUSTRAITS_dataset_52",NA
"150","Rhodamnia argentea",40,"AUSTRAITS_dataset_49",NA
"151","Rhodamnia rubescens",30,"AUSTRAITS_dataset_49",NA
"152","Rhodomyrtus psidioides",20,"AUSTRAITS_dataset_49",NA
"153","Rhodosphaera rhodanthema",27,"AUSTRAITS_dataset_49",NA
"155","Sarcopteryx stipata",40,"AUSTRAITS_dataset_49",NA
"156","Schefflera actinophylla",24,"AUSTRAITS_dataset_49",NA
"157","Senna sulfurea",11,"AUSTRAITS_dataset_49",NA
"158","Sloanea australis",45,"AUSTRAITS_dataset_49",NA
"159","Sloanea woollsii",45,"AUSTRAITS_dataset_49",NA
"162","Sterculia quadrifida",25,"AUSTRAITS_dataset_49",NA
"163","Streblus brunonianus",30,"AUSTRAITS_dataset_49",NA
"164","Synoum glandulosum",20,"AUSTRAITS_dataset_49",NA
"165","Syzygium australe",24,"AUSTRAITS_dataset_49",NA
"166","Syzygium floribundum",30,"AUSTRAITS_dataset_49",NA
"167","Syzygium luehmannii",35,"AUSTRAITS_dataset_49",NA
"168","Syzygium oleosum",17,"AUSTRAITS_dataset_8",NA
"169","Tabernaemontana pandacaqui",4,"AUSTRAITS_dataset_49",NA
"170","Toechima tenax",30,"AUSTRAITS_dataset_49",NA
"171","Toona ciliata",45,"AUSTRAITS_dataset_49",NA
"172","Trema tomentosa",6,"AUSTRAITS_dataset_29",NA
"173","Tristaniopsis laurina",30,"AUSTRAITS_dataset_49",NA
"174","Turraea pubescens",7,"AUSTRAITS_dataset_49",NA
"175","Vitex melicopea",30,"AUSTRAITS_dataset_49",NA
"176","Wikstroemia indica",4,"AUSTRAITS_dataset_49",NA
"177","Wilkiea huegeliana",13.5,"AUSTRAITS_dataset_49",NA
"178","Wilkiea macrophylla",10,"AUSTRAITS_dataset_49",NA
