"","proportionExotic","FDis.proportion","FDiv.proportion","FRic.proportion","FEve.proportion"
"1",0.0215516320366044,1.03730505147148,0.780608396565052,0.036472611722175,0.990311314632591
"18",0.179701379562486,1.29731185470486,1.21600439528293,0.00791362791459949,0.974943845055341
"35",0.25933873323705,1.47664396115224,0.933933226888655,0.0161675622835988,0.988772504435498
"52",0.0790793042071408,1.13370951959784,0.870758686846191,0.0529157743373824,0.889665073466718
"69",0.0696301678528985,1.28137441071192,0.941572261610076,0.0322303374689966,1.03179307187068
"86",0.0795575609450398,1.2169736722685,0.889321674935191,0.101863285503133,0.885865374439425
"103",0.593067971327905,1.36823917155052,0.710684482960341,0.00257524324029579,1.03658698305043
"120",0.774365667514655,0.293164128680533,1.21198468750268,0.0542677723567668,0.734933548372507
"137",0.226661981757964,1.06727575680591,1.09743427248048,0.214654465939604,0.911693167916515
"154",0.165354402656159,1.33412167842637,1.04383145539089,0.0626512739209489,0.975089978772278
"171",0.0871129815040499,1.39349125493695,0.85153894977271,0.112960848200946,0.956594295858889
"188",0.0351135544474007,1.04059600601659,0.852325213052502,0.0969208076937056,0.975375864344748
"205",0.0904229847010465,1.47149463987514,1.12041980225756,0.0142496522368857,0.769383345348402
"222",0.00516526073983786,0.978107316524133,0.940127934252435,0.0307703648214715,1.05548220847054
"239",0.0118978377613728,1.01243943461618,0.965341704990127,0.0412100330225558,1.02440245537328
"256",0.0169339071328159,0.99005062099045,1.20505952759529,0.0754776417089015,0.9513364223804
"273",0.0124664966011765,0.836143160746909,0.754574839277217,0.0760624191025563,0.880847888741653
"290",0.0472492403445361,1.02862991209495,1.03954385824602,0.100139002922909,1.00843031478419
"307",0.0107361355850102,0.9981214950631,0.875231738764826,0.0940889691260493,1.0730375107774
"324",0.065780491453565,0.876213192407356,0.956418983487893,0.0268318350412882,0.95352069256675
"341",0.0291717312033339,0.669238181670011,0.712967547237417,0.026622536332303,0.846338532208451
"358",0.00331986465527364,1.00030521377093,0.91771431893065,0.12985986631625,0.910279494704714
"375",0.00601124714230791,0.785952330561016,0.702290786096135,0.0790889806094385,0.906185494283442
"392",0.043547676499401,1.03451001161806,1.00841696414913,0.0163706556739875,0.989642066919919
"409",0.102613482996799,0.994533845343171,1.01669976826478,0.137996305569898,0.984707987462488
"426",0.0467153782375138,1.00673417245791,0.869567962319397,0.111793815665765,0.978476998086365
"443",0.0311474775398361,0.84112625119211,0.84174247411537,0.0098274700821423,0.89570835028129
"460",0.156509407995293,3.55467648498183,0.762915719696396,0.00237176462014738,0.657961388020276
"477",0.226819091763224,1.01494850409956,1.39956027332052,0.128964804533909,0.973202575662913
"494",0.0273021001615509,1.00562756815172,1.01488040034169,0.0536133677263613,1.01663078827772
"511",0.315967135645141,1.12365813352134,1.15035792322579,0.0329803761113245,0.889167778571597
"528",0.453020774778043,0.862437267654822,1.07330944503491,0.00358520698889206,0.767526958608659
"545",0,0.984579305491917,0.90773029449581,0.0303039209800843,1.03028272169484
"562",0.0093320016183528,0.978825793623034,0.902497263632595,0.025573534430153,1.01486431560093
"579",0.227048778248531,1.01710647985292,1.00223364940182,0.0535751135089801,1.01490866010401
"596",0.0464040948728147,1.02881309191911,1.11876050704988,0.0150844924126277,1.09213727230676
"613",0.0172583849051064,0.845360101611517,0.923042359743134,0.0120922963757521,0.893801711790599
"630",0,0.975695512484879,1.30796906109211,0.000987962469591449,1.00088578518767
"647",0.00275038758614471,0.998368652125386,0.9575435354212,0.047595321220515,0.999209010101627
"664",0.00169993406879132,0.996655004167696,1.94794428375829,0.0453952112045756,1.00409598141309
"681",0.0712732345820853,1.14289475299608,1.09437708546574,0.0166599921596684,0.978985285730632
"698",0.174343621016895,1.49393573975923,1.08489105375342,0.0180202829275475,1.22310746807608
"715",0.134051449895986,0.848697615682527,0.954525411739761,0.00477468018526636,0.871234384725209
"732",0.223425445565828,1.0344780577264,1.04391173983564,0.00131760966817168,0.657909531337509
