"","clim_dnrg","clim_isot","clim_pcld","clim_pdmt","clim_pdry","clim_prec","clim_psea","clim_pwet","clim_pwmt","clim_pwrm","clim_tavg","clim_tcld","clim_tdry","clim_tmax","clim_tmin","clim_trng","clim_tsea","clim_twet","clim_twrm","CV","MDFAnnZer","CVAnnZer","MDFMDFWet","MDFMDFDry","CVMDFWet","CVMDFDry","HSPeak","HSMeanDur","MDFAnnHSNum","CVAnnHSNum","CVAnnHSPeak","CVAnnHSMeanDur","LSPeak","LSMeanDur","MDFAnnLSNum","CVAnnLSNum","CVAnnLSPeak","CVAnnLSMeanDur","MRateRise","MRateFall","CVAnnMRateRise","CVAnnMRateFall","BFI","CVAnnBFI","PS1YrARI","PS2YrARI","PS10YrARI","C_MDFM","M_MDFM","C_MinM","M_MinM","C_MaxM","M_MaxM"
"clim_dnrg",1,0.570022181364767,-0.909447363128165,-0.943146602587922,-0.911807194680369,-0.88205758117696,0.3896830930152,-0.85904510136338,-0.902220678111509,-0.865314563099017,-0.399716743892452,-0.680371951957226,-0.618865491764124,0.623678367237197,-0.858515723520422,0.996845979349515,0.985584240498014,0.354124666796937,0.00273759389861219,0.0930652780688829,0.244912348263831,-0.0763498028816776,-0.0887291101356124,0.13708606830418,-0.187322070990541,0.224552968218133,0.193633663193089,0.324862887153382,-0.463729463156097,0.261219856940118,-0.00427500879984417,0.395210160039195,-0.115048088651953,0.0159808125982282,0.0186464049263022,0.464295734348875,0.0552116192969633,0.50678303500674,0.0452194679862955,0.0286265544242056,0.288868711719401,0.227446106979309,0.112430294445929,0.430680845881653,-0.12456930921884,-0.062144278976585,0.00381529655749685,0.586036294737415,-0.204061093262144,0.552144362820893,-0.344608121195961,0.217504977692903,-0.398257017441274
"clim_isot",0.570022181364767,1,-0.732968498809523,-0.636294361889637,-0.72832269941872,-0.707658400985133,0.177933520479925,-0.696378525364795,-0.639446564898186,-0.656597885705418,0.247086215079241,0.018479199987929,0.0840142848175824,0.705013988229813,-0.207169190684529,0.503302642491003,0.430007166833216,0.735127301881482,0.471441682852777,0.25638663001856,0.364830042536393,-0.0951089268675754,0.103679359021306,0.0930547803746519,0.249289047327191,0.347029523991502,0.233107710262593,0.264495968135337,-0.407915698600933,0.180671512800808,0.24180092408605,0.46535803088116,-0.144293775758432,0.241362419976282,-0.204859547327432,0.38261866262645,0.384049632003197,0.103698887906249,0.0525494060814657,0.0215148824820511,0.196852936850912,0.229607012226633,0.0205130525415108,0.429355854471938,-0.231272573117011,-0.102736937453189,0.11090565501127,0.417635013300235,-0.392816893296848,0.390323879315065,-0.45742269349974,0.288033628995956,-0.401888073800734
"clim_pcld",-0.909447363128165,-0.732968498809523,1,0.958424196504751,0.994457642240582,0.988361793629265,-0.225288394909845,0.978017448407803,0.975224071628417,0.963788175389013,0.111437776458476,0.414908714267293,0.339766077979283,-0.77888699732279,0.632974927986188,-0.886146792266038,-0.856767027091161,-0.648981330588665,-0.265849131024521,-0.237494253205518,-0.296111107898356,0.0579338721555898,0.00937003136279477,-0.0896849117784478,-0.0931088628213839,-0.391644026971103,-0.274331388897245,-0.291799741029628,0.445227841560638,-0.210494768219224,-0.206802434789962,-0.414685605018808,0.102543399932359,-0.230266431014881,0.155430328940392,-0.487519867716628,-0.132799457022311,-0.435059412196048,-0.0993727010311026,-0.0519839056206795,-0.317765829979741,-0.268440477342265,0.0194783749085716,-0.5498826101977,0.15255291024357,0.0450708157294187,-0.0981296217533668,-0.550158382108015,0.377002118251742,-0.466049081897775,0.499516621119019,-0.294024102995496,0.485659502802175
"clim_pdmt",-0.943146602587922,-0.636294361889637,0.958424196504751,1,0.96506507338501,0.956756186982539,-0.310947572168494,0.935608622020704,0.951486729446795,0.949032927673004,0.202251537784535,0.503678064676569,0.432818857734674,-0.740998785358209,0.708809693597103,-0.930142979998752,-0.913819181309972,-0.520701131402783,-0.193907658489501,-0.173955557970953,-0.284565645118973,0.0271082756694545,0.0361632935176502,-0.159929587787572,0.0309014030004185,-0.29280557537343,-0.232782375682269,-0.29725524231028,0.419704158777819,-0.203697713857213,-0.134820434275433,-0.377655536360928,0.105545239476681,-0.151301724558209,0.0658728262986475,-0.462372525397695,-0.118486188597587,-0.465657350767928,-0.105192153233456,-0.0667543549676979,-0.265270396791111,-0.192651111754087,-0.00810153066566464,-0.49580455166975,0.126277806284895,0.0677184824653652,-0.00773810120461074,-0.583805922164638,0.304572866920034,-0.522494142661795,0.442692131034703,-0.293222465246292,0.431863908460128
"clim_pdry",-0.911807194680369,-0.72832269941872,0.994457642240582,0.96506507338501,1,0.977941268744854,-0.246972341309995,0.969918532730204,0.965355922828595,0.955765754885621,0.142358555798117,0.438830558197911,0.36605661159039,-0.753372951089243,0.651045029664816,-0.888818562966389,-0.85863064886091,-0.621246081276958,-0.231892384729031,-0.21267292776724,-0.28917933004139,0.0168186325147991,0.0182114941152092,-0.111069797732983,-0.0599209589672083,-0.353747691408029,-0.251257503597169,-0.317049331669707,0.469582465031044,-0.229819686894242,-0.194446391817604,-0.425458129283271,0.0939339657372221,-0.19357761176033,0.142322900629505,-0.501422325014102,-0.145809198889803,-0.435697491402926,-0.0795266578210836,-0.0239696910604694,-0.312637798850954,-0.24962914895474,-0.0208683357749367,-0.527692875075554,0.159311410334177,0.0649181292153556,-0.0822399947637003,-0.572172730969807,0.326410835421897,-0.499889353892935,0.449276244491468,-0.265425490711822,0.438328147385663
"clim_prec",-0.88205758117696,-0.707658400985133,0.988361793629265,0.956756186982539,0.977941268744854,1,-0.127279080705519,0.993376571019478,0.98654659835599,0.988802614975677,0.0403800907123135,0.351058930885092,0.27500026120345,-0.815461754972053,0.579474931423474,-0.859773468610363,-0.832334848800716,-0.687677396773119,-0.33667019111932,-0.254053727073391,-0.30039725232315,0.0481338239464559,0.0264879410203203,-0.11134245130153,-0.147744130840048,-0.409396207394036,-0.275623874868496,-0.280310661805272,0.414805746869033,-0.205183363263736,-0.232936916940718,-0.396758449636369,0.126844508257688,-0.274521792822774,0.158150146319936,-0.486333023903636,-0.131871897025989,-0.423249028949432,-0.112557176341814,-0.0836168390585623,-0.308808291086242,-0.272037155767886,0.0773047137567047,-0.570514448572398,0.116196177199826,0.0272599341663059,-0.107279621699676,-0.51539630316258,0.432824098595667,-0.418601407554609,0.543049428747405,-0.343069128349219,0.508228457674052
"clim_psea",0.3896830930152,0.177933520479925,-0.225288394909845,-0.310947572168494,-0.246972341309995,-0.127279080705519,1,-0.0410148711704557,-0.0842308389310018,-0.0375662214020598,-0.407957825398922,-0.465554353366127,-0.44689781469356,0.0444873128465804,-0.453457994974111,0.391508977377821,0.405521247542639,-0.169249401636484,-0.274800013758147,-0.0735491948676685,-0.00695640556871985,-0.162762795689893,0.230103248622958,0.140018114908759,-0.463893897679722,-0.213824602031146,-0.0062686762565947,0.107283042110435,-0.112920577702362,-0.00259350440438855,-0.114814588629803,0.0226421403533588,0.0283816484457256,-0.21322868806301,-0.00928531367958864,-0.0389916780900331,0.0414513191298036,0.155276977139852,-0.0178487984482166,-0.0770188398044396,0.0611966350488113,-0.107669920880818,0.306821428112909,-0.0977588842385791,-0.408783633069514,-0.303927950539422,-0.28407715101255,0.413357884513135,0.319129377033899,0.495777055424265,0.12910444923628,-0.0932502413671399,0.0342165167806788
"clim_pwet",-0.85904510136338,-0.696378525364795,0.978017448407803,0.935608622020704,0.969918532730204,0.993376571019478,-0.0410148711704557,1,0.987566996740208,0.992265707903349,0.0347303367303884,0.336906568260777,0.264270582263503,-0.794394528697576,0.563526205722243,-0.836762417152844,-0.807095251389739,-0.691971161970237,-0.331211291493061,-0.238893169801135,-0.28332628225808,-0.00488155702093354,0.0727872426416759,-0.102875358889099,-0.160310244137954,-0.409212433226764,-0.260527541964477,-0.294072000753062,0.432849947434671,-0.23940459242788,-0.231632791557321,-0.417366069386185,0.129440699400114,-0.256557204930664,0.134023686161467,-0.488741517811927,-0.117189987718021,-0.412630637732446,-0.0949952671612603,-0.0780568338255443,-0.33456544325403,-0.292405515196922,0.0717383945138275,-0.56971253832483,0.0666506438631591,-0.0160502139183795,-0.150168548298731,-0.499900076610937,0.438233583755517,-0.397907662732066,0.518404582367874,-0.334219165999722,0.492407799125141
"clim_pwmt",-0.902220678111509,-0.639446564898186,0.975224071628417,0.951486729446795,0.965355922828595,0.98654659835599,-0.0842308389310018,0.987566996740208,1,0.989567065256739,0.0962728439662816,0.404940830859896,0.333122106201891,-0.789443188549164,0.628368526204233,-0.887385811343887,-0.864927499981966,-0.63338723433987,-0.289285138846505,-0.208216055852784,-0.301012187707924,0.0425861700456178,0.0803926897696992,-0.0944818441519822,-0.0932942897370603,-0.398350630397583,-0.249581952645787,-0.315812134261299,0.453507447670263,-0.247629101545789,-0.165186024748173,-0.43121111454009,0.157491295954376,-0.229731078175828,0.109828259721514,-0.48685566775307,-0.0908798573286028,-0.428248736351117,-0.0932838772762327,-0.0818833178113734,-0.330927772504451,-0.289162890024368,0.0574738956278847,-0.581267129769243,0.0678888781687144,-0.01163264783874,-0.125871418873706,-0.532157896876474,0.387565429379684,-0.431722076816407,0.484195828723877,-0.347634715807882,0.479704559863007
"clim_pwrm",-0.865314563099017,-0.656597885705418,0.963788175389013,0.949032927673004,0.955765754885621,0.988802614975677,-0.0375662214020598,0.992265707903349,0.989567065256739,1,0.0283567489720354,0.33655437420001,0.264573821806453,-0.807923814072649,0.567850187409638,-0.846705435967923,-0.821159943780579,-0.667585180628234,-0.346949918249728,-0.238101181769844,-0.292019837902916,0.0120336729189444,0.0765285335003273,-0.102693272138848,-0.142602187916658,-0.405226463355043,-0.267420847010533,-0.279836869709325,0.406901654353222,-0.215663883581682,-0.228487904073399,-0.392536028177701,0.140489525207219,-0.255133838339384,0.0975060536517217,-0.451856199088753,-0.0905442756803126,-0.401592750340685,-0.122108512877805,-0.108096569085087,-0.312723385753195,-0.274035727089951,0.104669723397979,-0.585754917860697,0.0395377728321401,-0.0312407113607321,-0.137157074547031,-0.513122356792544,0.431079104552054,-0.405253806005809,0.51289367306009,-0.373897272501335,0.495153704431356
