,flowering.start,flowering.end,flowering.duration,flowering source,flowering.duration,leaf.area,maximum.height,seed.mass,SLA,wood.density
Lepiderema.pulchella,9,10,2,FLOYD AG,NA,6.431,15,NA,NA,NA
Leucaena.leucocephala,,,,,3,NA,NA,48,NA,NA
Ligustrum.lucidum,,,,,6,34.63366667,4.5,22.793,12.40541807,0.57942
Ligustrum.sinense,,,,,5,13.07,3,16.82566667,9.712397385,0.612
Lomandra.longifolia,,,,,5,39.68233333,1,11.33,5.078207361,NA
Lophostemon.confertus,,,,,3,33.682,40,6.500124679,NA,0.7328
Lophostemon.suaveolens,,,,,3,35.58114286,30,0.565,9.421189438,0.613878132
Maclura.cochinchinensis,,,,,NA,8.60825,NA,11.167,18.42224673,NA
Mallotus.claoxyloides,10,3,6,FLOYD AG,NA,35.875,8,62.86036375,NA,NA
Mallotus.philippensis,,,,,11,40.03966667,25,22.75025911,NA,0.603333333
Marsdenia.rostrata,,,,,6,38.65233333,NA,77.35,23.69965666,NA
Melaleuca.bracteata,,,,,3,0.299,15,0.057017027,NA,0.87
Melodinus.australis,,,,,6,48.79575,NA,65,NA,NA
Melodorum.leichhardtii,8,12,5,http://sgaptownsville.org.au/Melodorum-leichhardtii.html,NA,29.9825,NA,124.16,NA,NA
Morinda.jasminoides,,,,,7,9.538090909,NA,7.248333333,26.0434634,NA
Myrsine.variabilis,,,,,5,14.45214286,10,28.404,11.69247939,0.75917
Neolitsea.dealbata,,,,,3,59.69171429,20,146.0075,12.39690179,0.499757143
Notelaea.longifolia,,,,,7,34.93409091,9,97.8275,9.648457335,0.83987
Ochna.serrulata,9,2,6,http://www.weeds.org.au/cgi-bin/weedident.cgi?tpl=plant.tpl&ibra=all&card=S04,NA,6.7976,3,83.76,20.19766667,NA
Olea.paniculata,,,,,3,30.015,30,82.5,15.1194436,0.760333333
Pandorea.pandorana,,,,,7,10.1108,NA,3.9844375,27.01734496,0.4477
Pararchidendron.pruinosum,,,,,4,12.47666667,20,56,24.60629921,0.5125
Parsonsia.straminea,,,,,5,41.86672727,NA,8.848,22.37626912,NA
Passiflora.suberosa,10,6,8,http://www.weeds.org.au/cgi-bin/weedident.cgi?tpl=plant.tpl&card=V18,NA,NA,NA,3.476,NA,NA
Passiflora.subpeltata,9,2,6,http://weeds.brisbane.qld.gov.au/weeds/white-passionflower,NA,NA,NA,69,NA,NA
Pavetta.australiensis,,,,,3,47.775,7,219,NA,NA
Phyllanthus.microcladus,,,,,3,0.147,1,NA,NA,NA
Piper.hederaceum,,,,,NA,51.476,NA,NA,NA,NA
Pittosporum.undulatum,,,,,4,28.9654,25,9.342539041,11.1524932,0.6446
Planchonella.australis,10,1,4,FLOYD AG,NA,29.4,40,670.4572629,NA,0.7568
Pothos.longipes,,,,,2,4.2,NA,109,12.0048,NA
Pteridium.esculentum,,,,,NA,12.73466667,1.8,NA,10.17097129,NA
Rhodamnia.rubescens,,,,,4,16.72766667,30,3.798,10.993,0.6414
Rhodomyrtus.psidioides,,,,,2,31.845,20,4.1765,13.12388208,0.7783
Rhodosphaera.rhodanthema,,,,,3,7.963,27,448.871,NA,0.5895
Ricinus.communis,1,3,3,http://www.weeds.org.au/cgi-bin/weedident.cgi?tpl=plant.tpl&card=S05,NA,NA,NA,295.6,NA,NA
Rubus.rosifolius,,,,,12,3.19675,NA,0.524784111,23.95933333,NA
Sarcopteryx.stipata,7,10,4,,NA,12.066,40,37.19,9.169264625,0.83875
Schefflera.actinophylla,,,,,5,117.469,24,7.879037868,NA,0.4065
Senna.septemtrionalis,9,5,9,PlantNET,NA,NA,NA,20.604,NA,NA
Sloanea.australis,,,,,6,57.03725,45,NA,13.838,0.509
Smilax.australis,,,,,6,53.425125,NA,35.2845,11.21656857,NA
Solanum.mauritianum,,,,,9,NA,NA,1.07,20.12699687,0.449091629
Solanum.seaforthianum,,,,,9,NA,NA,2.115,NA,NA
Stephania.japonica,,,,,6,40.52418182,NA,20.58866667,21.61541145,NA
Streblus.brunonianus,9,5,9,FLOYD AG,NA,10.68766667,30,12,NA,0.68125
Synoum.glandulosum,,,,,3,42.95924,20,202.231066,12.04712346,0.527571429
Syzygium.australe,,,,,3,13.813,24,243.7709461,12.26777112,0.6115
Syzygium.floribundum,11,1,2,FLOYD AG,NA,24.456,30,NA,NA,0.6364
Syzygium.oleosum,,,,,10,19.34944444,17,198.3208963,11.3613777,0.751443983
Tabernaemontana.pandacaqui,,,,,6,26.01833333,4,23.597,NA,NA
Tecoma.capensis,,,,,6,NA,NA,2.148,NA,NA
Tecoma.stans,,,,,6,NA,NA,9,NA,NA
Toechima.tenax,5,7,3,FLOYD AG,NA,6.15,30,NA,NA,0.6622
Toona.ciliata,9,12,4,https://www.rbgsyd.nsw.gov.au/welcome/royal_botanic_garden/gardens_and_domain/Plant_of_the_Month/Toona_ciliata,NA,30.40175,45,2,14.93281493,0.397125
Tristaniopsis.laurina,,,,,2,14.2245,30,10.25641026,7.205137828,0.761540363
Trophis.scandens,,,,,12,24.6769,NA,80.55,10.49585169,0.658939167
Wilkiea.huegeliana,,,,,3,39.10555556,13.5,131.15,9.724412427,0.62095
Wilkiea.macrophylla,,,,,3,61.5,10,NA,NA,NA
