"","Taxon","SLA","source"
"2237","Cissus antarctica",9.91,"Mueller JM. 2009.  Conservation Management Under Climate Change: On Tropical Drought Resistance, NonNAnative Species Response to Increasing Disturbance, and Assisted Migration. MSc thesis, University of Notre Dame."
"6","Cissus hypoglauca",12.16,"AUSTRAITS_dataset_3"
"48","Cissus hypoglauca",13.22,"AUSTRAITS_dataset_10"
"325","Cissus hypoglauca",8.528,"AUSTRAITS_dataset_8"
"783","Cissus hypoglauca",15.833,"AUSTRAITS_dataset_8"
"1272","Cissus hypoglauca",26.6524520255863,"Gallagher_field_workPHD"
"1273","Cissus hypoglauca",19.657951641439,"Gallagher_field_workPHD"
"1274","Cissus hypoglauca",12.5078173858662,"Gallagher_field_workPHD"
"1275","Cissus hypoglauca",12.0889748549323,"Gallagher_field_workPHD"
"1276","Cissus hypoglauca",10.8260257659413,"Gallagher_field_workPHD"
"1367","Cissus hypoglauca",1.218,"Gallagher_field_workPHD"
"620","Cleistanthus cunninghamii",12.618,"AUSTRAITS_dataset_28"
"698","Cleistanthus cunninghamii",11.409,"AUSTRAITS_dataset_28"
"994","Cleistanthus cunninghamii",11.487,"AUSTRAITS_dataset_28"
"1278","Cleistanthus cunninghamii",12.3076923076923,"Gallagher_field_workPHD"
"23","Clematis aristata",30.88,"AUSTRAITS_dataset_10"
"879","Clematis aristata",30.771,"AUSTRAITS_dataset_8"
"1279","Clematis aristata",13.294336612603,"Gallagher_field_workPHD"
"1280","Clematis aristata",12.8155837498398,"Gallagher_field_workPHD"
"1377","Clematis aristata",3.0771,"Gallagher_field_workPHD"
"1281","Commersonia bartramia",11.5035085701139,"Gallagher_field_workPHD"
"642","Cryptocarya glaucescens",10.87,"AUSTRAITS_dataset_10"
"842","Cryptocarya glaucescens",10.72,"AUSTRAITS_dataset_8"
"858","Cryptocarya glaucescens",9.762,"AUSTRAITS_dataset_8"
"2239","Cryptocarya glaucescens",10.34936337,"J_Lawson_FieldWork"
"733","Cryptocarya laevigata",11.4758,"AUSTRAITS_dataset_67"
"734","Cryptocarya laevigata",11.4942528735632,"AUSTRAITS_dataset_32"
"1282","Cryptocarya triplinervis",10.673497705198,"Gallagher_field_workPHD"
