"","Taxon","seed.mass","source"
"1670","Cayratia clematidea",27.923,"AUSTRAITS_dataset_6"
"1672","Cayratia clematidea",33.19,"Gallagher_field_workPHD"
"2441","Celtis sinensis",47.44,"http://onlinelibrary.wiley.com/doi/10.1111/j.1438-8677.2011.00528.x/full"
"1674","Cestrum nocturnum",3.236,"AUSTRAITS_dataset_53"
"1432","Cinnamomum camphora",77,"AUSTRAITS_dataset_52"
"1675","Cinnamomum camphora",108,"AUSTRAITS_dataset_53"
"1680","Cissus antarctica",65.4,"AUSTRAITS_dataset_53"
"47","Cissus hypoglauca",38.058,"AUSTRAITS_dataset_10"
"1434","Cissus hypoglauca",36.11,"AUSTRAITS_dataset_52"
"1685","Cissus hypoglauca",39.11,"AUSTRAITS_dataset_53"
"22","Clematis aristata",2.964,"AUSTRAITS_dataset_10"
"273","Clematis aristata",12.566,"AUSTRAITS_dataset_49"
"1696","Clematis aristata",0.295,"AUSTRAITS_dataset_53"
"1697","Clematis aristata",0.29,"AUSTRAITS_dataset_6"
"1698","Clematis aristata",3.85,"Gallagher_field_workPHD"
"1438","Clerodendrum floribundum",43.7,"AUSTRAITS_dataset_52"
"1439","Commersonia bartramia",13,"AUSTRAITS_dataset_52"
"1703","Commersonia bartramia",6,"AUSTRAITS_dataset_53"
"641","Cryptocarya glaucescens",323.99,"AUSTRAITS_dataset_10"
"1716","Cryptocarya triplinervis",281.281,"AUSTRAITS_dataset_53"
"1717","Cryptocarya triplinervis",281.28,"Gallagher_field_workPHD"
"1721","Cupaniopsis anacardioides",178.63,"AUSTRAITS_dataset_53"
"1722","Cupaniopsis anacardioides",199.03,"Gallagher_field_workPHD"
"391","Cupaniopsis serrata",293.215,"AUSTRAITS_dataset_49"
"1725","Cyperus involucratus",0.055,"AUSTRAITS_dataset_53"
"187","Derris involuta",12.566,"AUSTRAITS_dataset_49"
"1727","Derris involuta",22.45,"AUSTRAITS_dataset_6"
"1730","Dioscorea transversa",21.307,"AUSTRAITS_dataset_6"
"1731","Dioscorea transversa",21.31,"Gallagher_field_workPHD"
"294","Diospyros australis",242.304,"AUSTRAITS_dataset_10"
"1734","Diospyros australis",224.62,"Gallagher_field_workPHD"
"1737","Diospyros pentamera",46.04,"Gallagher_field_workPHD"
"1750","Drypetes deplanchei",91.247,"AUSTRAITS_dataset_53"
"1751","Drypetes deplanchei",91.24,"Gallagher_field_workPHD"
"1447","Dysoxylum rufum",108.47,"AUSTRAITS_dataset_52"
"1448","Elaeagnus triflora",150,"AUSTRAITS_dataset_52"
"1761","Elaeocarpus grandis",17.07,"AUSTRAITS_dataset_53"
"1764","Elaeocarpus obovatus",86.234,"AUSTRAITS_dataset_53"
"1765","Elaeocarpus obovatus",86.23,"Gallagher_field_workPHD"
"1769","Embelia australiana",24.17,"Gallagher_field_workPHD"
"1770","Embelia australiana",94.81,"Gallagher_field_workPHD"
"1773","Endiandra discolor",250.42,"Gallagher_field_workPHD"
"1780","Endiandra sieberi",1758.5,"Gallagher_field_workPHD"
"839","Erythrina species 'croftby'",62.832,"AUSTRAITS_dataset_49"
"1781","Eugenia uniflora",258.292,"AUSTRAITS_dataset_53"
"647","Eupomatia laurina",8.15,"AUSTRAITS_dataset_10"
"1788","Eupomatia laurina",18,"Gallagher_field_workPHD"
"1792","Euroschinus falcatus",7.62,"Gallagher_field_workPHD"
"1795","Ficus coronata",0.57,"Gallagher_field_workPHD"
"2261","Ficus coronata",0.32,"Kyle_Hunter Plant Traits"
"1799","Ficus fraseri",0.23,"AUSTRAITS_dataset_53"
"1805","Ficus obliqua",0.44,"AUSTRAITS_dataset_53"
"1456","Ficus opposita",0.9,"AUSTRAITS_dataset_52"
"1808","Ficus opposita",0.845,"AUSTRAITS_dataset_53"
"1457","Ficus racemosa",0.13,"AUSTRAITS_dataset_52"
"1814","Ficus virens",0.25,"AUSTRAITS_dataset_53"
"1819","Ficus watkinsiana",2.856,"AUSTRAITS_dataset_53"
"1820","Ficus watkinsiana",1.1,"Gallagher_field_workPHD"
"1826","Flagellaria indica",37.963,"AUSTRAITS_dataset_53"
"1827","Flagellaria indica",42.73,"AUSTRAITS_dataset_6"
"1071","Flindersia schottiana",36.652,"AUSTRAITS_dataset_49"
"1838","Flindersia schottiana",70,"AUSTRAITS_dataset_53"
"1843","Geitonoplesium cymosum",15.32,"AUSTRAITS_dataset_6"
"1857","Glochidion ferdinandi",2.02,"Gallagher_field_workPHD"
"23","Grevillea robusta",31.416,"AUSTRAITS_dataset_49"
"1871","Grevillea robusta",20,"AUSTRAITS_dataset_53"
"222","Guioa semiglauca",27.223,"AUSTRAITS_dataset_10"
"1875","Guioa semiglauca",59.69,"Gallagher_field_workPHD"
"2285","Guioa semiglauca",41,"PIREL Seed Trait Database 02 08 2013"
"1876","Helicia glabriflora",152.7,"Gallagher_field_workPHD"
"1467","Heritiera trifoliolata",110,"AUSTRAITS_dataset_52"
"1888","Hibiscus heterophyllus",12.552,"AUSTRAITS_dataset_53"
"1891","Hippocratea barbata",41.5,"AUSTRAITS_dataset_53"
"1901","Ipomoea cairica",24.851,"AUSTRAITS_dataset_53"
"1903","Jacaranda mimosifolia",11.7,"AUSTRAITS_dataset_53"
"1908","Jagera pseudorhus",36.15,"AUSTRAITS_dataset_53"
"256","Lantana camara",23.001,"AUSTRAITS_dataset_10"
"1912","Lantana camara",15,"AUSTRAITS_dataset_53"
"1469","Legnephora moorei",36,"AUSTRAITS_dataset_52"
"1918","Leucaena leucocephala",48,"AUSTRAITS_dataset_53"
"1042","Ligustrum lucidum",21.379,"AUSTRAITS_dataset_10"
"1471","Ligustrum lucidum",16,"AUSTRAITS_dataset_52"
"1921","Ligustrum lucidum",31,"AUSTRAITS_dataset_53"
"339","Ligustrum sinense",22.477,"AUSTRAITS_dataset_10"
"1473","Ligustrum sinense",11,"AUSTRAITS_dataset_52"
"1924","Ligustrum sinense",17,"AUSTRAITS_dataset_53"
"1082","Lomandra longifolia",11.33,"AUSTRAITS_dataset_10"
"1936","Lophostemon confertus",4.08,"AUSTRAITS_dataset_53"
"1944","Lophostemon suaveolens",0.46,"AUSTRAITS_dataset_53"
"2263","Lophostemon suaveolens",0.67,"Kew SID"
"290","Maclura cochinchinensis",16.755,"AUSTRAITS_dataset_49"
"1480","Maclura cochinchinensis",7.746,"AUSTRAITS_dataset_52"
"1946","Maclura cochinchinensis",9,"AUSTRAITS_dataset_53"
"1955","Mallotus philippensis",26.9,"AUSTRAITS_dataset_53"
"1957","Marsdenia rostrata",77.35,"Gallagher_field_workPHD"
"1963","Melaleuca bracteata",0.05,"AUSTRAITS_dataset_53"
"2260","Melaleuca quinquenervia",0.313,"Moles 2004 Seed database"
"1483","Melia azedarach",530,"AUSTRAITS_dataset_52"
"1977","Melia azedarach",412,"AUSTRAITS_dataset_53"
"1484","Melodinus australis",65,"AUSTRAITS_dataset_52"
"1485","Melodorum leichhardtii",83,"AUSTRAITS_dataset_52"
"1982","Melodorum leichhardtii",165.32,"AUSTRAITS_dataset_53"
"1486","Micromelum minutum",22,"AUSTRAITS_dataset_52"
"1990","Mischocarpus pyriformis",187.2,"Gallagher_field_workPHD"
"60","Morinda jasminoides",5.445,"AUSTRAITS_dataset_10"
"1489","Morinda jasminoides",8.4,"AUSTRAITS_dataset_52"
"1994","Morinda jasminoides",7.9,"AUSTRAITS_dataset_53"
"1999","Myrsine variabilis",29.6,"Gallagher_field_workPHD"
"2282","Myrsine variabilis",27.208,"Moles 2004 Seed database as H. aspera"
"2001","Neolitsea dealbata",146,"AUSTRAITS_dataset_53"
"2289","Neolitsea dealbata",146.015,"Moles 2004 Seed database"
"2007","Notelaea longifolia",151.46,"Gallagher_field_workPHD"
"2287","Notelaea longifolia",44.195,"PIREL Seed Trait Database 02 08 2013"
"2009","Notelaea microcarpa",43.522,"AUSTRAITS_dataset_53"
"2286","Notelaea microcarpa",43.52,"Kew SID, as N. microcarpa var. microcarpa"
"56","Ochna serrulata",83.76,"AUSTRAITS_dataset_10"
"1493","Olea paniculata",67,"AUSTRAITS_dataset_52"
"2014","Olea paniculata",98,"AUSTRAITS_dataset_53"
"516","Pandorea pandorana",5.027,"AUSTRAITS_dataset_49"
"719","Pandorea pandorana",5.215,"AUSTRAITS_dataset_10"
"2018","Pandorea pandorana",3.8,"AUSTRAITS_dataset_53"
"2279","Pandorea pandorana",1.89575,"Moles 2004 Seed database"
"1495","Pararchidendron pruinosum",56,"AUSTRAITS_dataset_52"
"687","Parsonsia straminea",10.344,"AUSTRAITS_dataset_10"
"1497","Parsonsia straminea",7.8,"AUSTRAITS_dataset_52"
"2030","Parsonsia straminea",8.4,"AUSTRAITS_dataset_53"
"1417","Passiflora edulis",11.502,"AUSTRAITS_dataset_10"
"2034","Passiflora edulis",15.46,"AUSTRAITS_dataset_53"
"2036","Passiflora suberosa",2.962,"AUSTRAITS_dataset_53"
"2037","Passiflora suberosa",3.99,"AUSTRAITS_dataset_6"
"1499","Passiflora subpeltata",88,"AUSTRAITS_dataset_52"
"2038","Passiflora subpeltata",50,"AUSTRAITS_dataset_53"
"1500","Pavetta australiensis",219,"AUSTRAITS_dataset_52"
"2045","Pilidiostigma rhytispermum",51.5,"AUSTRAITS_dataset_53"
"2047","Pittosporum multiflorum",11.071,"AUSTRAITS_dataset_53"
"651","Pittosporum undulatum",5.893,"AUSTRAITS_dataset_10"
"2054","Pittosporum undulatum",8.35,"AUSTRAITS_dataset_53"
"791","Planchonella australis",251.327,"AUSTRAITS_dataset_49"
"2058","Planchonella australis",957.688,"AUSTRAITS_dataset_53"
"1504","Polyscias elegans",8.7,"AUSTRAITS_dataset_52"
"2066","Polyscias elegans",6.6,"AUSTRAITS_dataset_53"
"1505","Pothos longipes",109,"AUSTRAITS_dataset_52"
"517","Pouteria queenslandica",150.796,"AUSTRAITS_dataset_49"
"2076","Psychotria daphnoides",18.413,"AUSTRAITS_dataset_53"
"580","Psychotria loniceroides",11.994,"AUSTRAITS_dataset_10"
"2081","Psychotria loniceroides",8.147,"AUSTRAITS_dataset_53"
"2082","Psychotria loniceroides",8.14,"Gallagher_field_workPHD"
"2089","Rhodamnia argentea",16.978,"AUSTRAITS_dataset_53"
"2095","Rhodamnia rubescens",3.798,"AUSTRAITS_dataset_53"
"2097","Rhodomyrtus psidioides",5.883,"AUSTRAITS_dataset_53"
"2098","Rhodomyrtus psidioides",2.47,"Gallagher_field_workPHD"
"2103","Rhodosphaera rhodanthema",448.871,"AUSTRAITS_dataset_53"
"2104","Ricinus communis",295.6,"AUSTRAITS_dataset_53"
"1512","Rubus moluccanus",0.85,"AUSTRAITS_dataset_52"
"1514","Rubus rosifolius",0.3,"AUSTRAITS_dataset_52"
"2112","Rubus rosifolius",0.4,"AUSTRAITS_dataset_53"
"2113","Rubus rosifolius",0.6,"AUSTRAITS_dataset_6"
"2115","Sarcopteryx stipata",37.19,"Gallagher_field_workPHD"
"1516","Schefflera actinophylla",9.92,"AUSTRAITS_dataset_52"
"1517","Schefflera actinophylla",2.7,"AUSTRAITS_dataset_52"
"2120","Schefflera actinophylla",7.4,"AUSTRAITS_dataset_53"
"2122","Senna septemtrionalis",20.604,"AUSTRAITS_dataset_53"
"518","Senna sulfurea",56.549,"AUSTRAITS_dataset_49"
