"","Taxon","flowering.duration","leaf.area","maximum.height","seed.mass","SLA","wood.density"
"76","Mischocarpus.pyriformis",NA,37.9065714285714,30,187.2,8.78600060519922,0.6
"77","Morinda.jasminoides",7,9.53809090909091,20,7.24833333333333,26.0434633965627,NA
"78","Myrsine.variabilis",5,14.4521428571429,10,28.404,11.6924793852689,0.75917
"79","Neolitsea.dealbata",3,59.3437549017647,20,146.0075,12.7494502088928,0.499757142857143
"80","Notelaea.longifolia",7,34.9340909090909,9,97.8275,9.64845733456075,0.83987
"81","Notelaea.microcarpa",7,10.5876,10,43.521,6.615,0.638719277
"82","Ochna.serrulata",6,6.7976,3,83.76,20.1976666666667,NA
"83","Olea.paniculata",3,30.015,30,82.5,15.1194436044754,0.760333333333333
"84","Pandorea.pandorana",7,10.1108,1.6,3.9844375,27.0173449599929,0.4477
"85","Pararchidendron.pruinosum",4,12.4766666666667,20,56,24.6062992125984,0.5125
"86","Parsonsia.straminea",5,41.8667272727273,17,8.848,22.3762691214052,NA
"87","Passiflora.edulis",5,130.67,5,13.481,21.6,NA
"88","Pittosporum.undulatum",4,28.9654,25,9.34253904089783,11.1524932031753,0.6446
"89","Polyscias.elegans",5,29.274125,30,6.84026093777776,13.7355112476707,0.36075
"90","Pothos.longipes",2,4.2,NA,109,12.0048,NA
"91","Psychotria.loniceroides",3,20.94175,5,9.58908578102923,14.6699249572766,0.69
"92","Pteridium.esculentum",NA,12.7346666666667,1.8,NA,10.1709712855714,NA
"93","Rhodamnia.rubescens",4,16.7276666666667,30,3.798,10.993,0.6414
"94","Rhodomyrtus.psidioides",2,31.845,20,4.1765,13.1238820842933,0.7783
"95","Ricinus.communis",3,NA,3.5,295.6,47.11,NA
"96","Rubus.moluccanus",6,45.1576666666667,NA,0.85,13.84331023,NA
"97","Rubus.rosifolius",12,3.19675,1,0.524784110637871,23.9593333333333,NA
"98","Sarcopteryx.stipata",4,12.066,40,37.19,9.16926462497708,0.83875
"99","Sloanea.australis",6,59.2131666666667,45,NA,15.3610173375,0.509
"100","Smilax.australis",6,53.425125,4,35.2845,11.2165685697378,NA
"101","Solanum.mauritianum",9,119.4375,4,1.07,20.12699687,0.449091629
"102","Stephania.japonica",6,40.5241818181818,1,20.588666673519,21.6154114519391,NA
"103","Streblus.brunonianus",9,11.429816666,30,12,21.07134504,0.68125
"104","Synoum.glandulosum",3,42.3216057692308,20,202.231066045636,12.3775603595273,0.527571428571429
"105","Syzygium.australe",3,13.2473333333333,24,243.77094605727,13.0486653674938,0.6115
"106","Syzygium.floribundum",2,24.456,30,1455.38103790523,13.58,0.5897
"107","Syzygium.luehmannii",3,6.321,35,21.1037099916711,13.9171848106089,0.645
