Time,143901A,,143901A,,143901A,,
and,141,,141,,141,,
Date,Discharge (ML/day),,Discharge (ML/day),,Discharge (ML/day),,
,Mean,Qual,Min,Qual,Max,Qual,
6/02/2002 0:00,,255,,255,,255,Sites:
7/02/2002 0:00,,200,,200,,200,143901A - Stanley River at Woodford Lat:-26.93577 Long:152.761393 Elev:107.5
8/02/2002 0:00,186.134,60,1.104,60,318.418,60,
9/02/2002 0:00,91.34,20,59.318,20,175.522,20,Variables:
10/02/2002 0:00,48.758,20,26.323,20,65.33,20,100 - Stream Water Level (Metres)
11/02/2002 0:00,18.545,20,11.778,20,26.323,20,141 - Stream Discharge (Megalitres/Day)
12/02/2002 0:00,9.999,20,8.128,20,11.778,20,
13/02/2002 0:00,6.826,20,5.558,20,8.128,20,Qualities:
14/02/2002 0:00,4.561,20,3.878,20,5.558,20,9 - CITEC - Normal Reading
15/02/2002 0:00,3.021,20,2.133,20,3.878,20,10 - Good
16/02/2002 0:00,1.809,60,1.485,60,2.133,60,20 - Fair
17/02/2002 0:00,1.252,60,1.104,60,1.485,60,30 - Poor
18/02/2002 0:00,1.407,60,1.193,60,1.842,60,60 - Estimate
19/02/2002 0:00,3.153,60,1.842,60,3.878,60,130 - Not coded value
20/02/2002 0:00,3.017,20,2.173,20,3.878,20,200 - Water level below threshold
21/02/2002 0:00,1.352,60,0.383,60,2.173,60,255 - No data exists
22/02/2002 0:00,0.491,60,0.383,60,0.609,60,
23/02/2002 0:00,0.532,60,0.431,60,0.609,60,
24/02/2002 0:00,0.469,60,0.431,60,0.508,60,
25/02/2002 0:00,0.468,60,0.297,60,0.543,60,
26/02/2002 0:00,0.692,60,0.297,60,0.913,60,
27/02/2002 0:00,1.095,60,0.609,60,1.322,60,
28/02/2002 0:00,1.047,60,0.83,60,1.193,60,
1/03/2002 0:00,0.789,60,0.747,60,0.83,60,
2/03/2002 0:00,1.658,60,0.747,60,2.381,60,
3/03/2002 0:00,5.425,20,2.381,20,12.041,20,
4/03/2002 0:00,36.079,20,12.041,20,53.629,20,
5/03/2002 0:00,26.739,20,15.935,20,42.471,20,
6/03/2002 0:00,11.883,20,9.034,20,15.935,20,
7/03/2002 0:00,6.736,20,4.554,20,9.034,20,
8/03/2002 0:00,3.331,60,1.702,60,4.554,60,
9/03/2002 0:00,1.071,60,0.676,60,1.702,60,
10/03/2002 0:00,0.492,60,0.261,60,0.83,60,
11/03/2002 0:00,0.374,60,0.261,60,0.487,60,
