"","metric","pval.linear","r2.linear","pval.quad","r2.quad","padj.linear","padj.quad"
"value","wood.density",0.00569115520876795,0.16822,0.0213210335302112,0.17115,0.0113823104175359,0.0255852402362535
"value5","flowering.duration",0.00789925283937194,0.15632,0.002755289980999,0.24988,0.0118488792590579,0.008265869942997
"value4","maximum.height",0.0030721392329997,0.19033,0.0097403839695946,0.20222,0.0092164176989991,0.0175790223932295
"value3","seed.mass",0.0182828855775975,0.12555,0.0459340802936838,0.13952,0.0219394626931169,0.0459340802936838
"value2","SLA",0,1,0,1,0,0
"value1","FDiv",0.662444873929525,0.0045811,0.011719348262153,0.19499,0.662444873929525,0.0175790223932295
